Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_018583675.1	ASM1858367v1	Cytorhabdovirus fragariarugosus	14545	8	8	
GCF_029886515.1	ASM2988651v1	Porcine ephemerovirus 1	14536	10	10	
GCF_018855805.1	ASM1885580v1	Bacillus phage Sole	14444	30	30	
GCF_029883185.1	ASM2988318v1	Rhagovelia obesa mononega-like virus	14438	3	3	
GCF_029886205.1	ASM2988620v1	Hangzhou cletus punctiger lispivirus 1	14433	5	5	
GCF_013087765.1	ASM1308776v1	Black currant nucleorhabdovirus 1	14432	6	6	
GCF_018591315.1	ASM1859131v1	hymenopteran chu-related virus 126	14386	3	3	
GCF_029886525.1	ASM2988652v1	Porcine ephemerovirus 2	14360	10	10	
GCF_029886245.1	ASM2988624v1	Fushun ischnura senegalensis lispivirus 1	14227	6	6	
GCF_023124125.1	ASM2312412v1	Trichoderma asperellum hypovirus 1	14211	1	1	
GCF_018580785.1	ASM1858078v1	Scaldis River bee virus	14130	3	3	
GCF_018591305.1	ASM1859130v1	hymenopteran chu-related virus 123	14106	3	3	
GCF_023123165.1	AaHV1	Alternaria alternata hypovirus 1	14102	1	1	
GCF_023155365.1	ASM2315536v1	Chrysanthemum yellow dwarf virus	14086	8	8	
GCF_023155865.1	ASM2315586v1	Bangoran virus	14053	12	12	
GCF_018583975.1	ASM1858397v1	Apple rootstock virus A	14043	7	7	
GCF_029886495.1	ASM2988649v1	Cnidium virus 1	14002	7	7	
GCF_029885825.1	ASM2988582v1	Bemisia tabaci arlivirus 1	13972	6	6	
GCF_023131685.1	ASM2313168v1	Fusarium sacchari hypovirus 1	13969	1	1	
GCF_018589465.1	ASM1858946v1	Peach virus 1	13949	6	6	
GCF_029887115.1	ASM2988711v1	Artemisia capillaris nucleorhabdovirus 1	13939	6	6	
GCF_018580405.1	ASM1858040v1	Drosophila sturtevanti sigmavirus	13885	6	6	
GCF_013088345.1	ASM1308834v1	alfalfa-associated nucleorhabdovirus	13875	7	7	
GCF_018584205.1	ASM1858420v1	Trifolium pratense virus B	13875	6	6	
GCF_018582985.1	ASM1858298v1	Blacklegged tick rhabdovirus 1	13841	5	5	
GCF_023148045.1	ASM2314804v1	Hemipteran arli-related virus OKIAV94	13833	5	5	
GCF_023131885.1	ASM2313188v1	Fiwi virus	13764	7	7	
GCF_023147555.1	ASM2314755v1	paper mulberry mosaic associated virus	13736	6	6	
GCF_023141855.1	ASM2314185v1	Botrytis cinerea hypovirus 2	13722	1	1	
GCF_021461795.1	ASM2146179v1	Sowthistle yellow vein virus	13721	6	6	
GCF_029882715.1	ASM2988271v1	Rhododendron delavayi virus 1	13719	6	6	
GCF_018583125.1	ASM1858312v1	Chimay rhabdovirus	13706	5	5	
GCF_023122925.1	ASM2312292v1	Bipolaris oryzae hypovirus 1	13625	1	1	
GCF_029886615.1	TRINITY_DN2997_c0_g1_i1_len=7101	Erthesina fullo arlivirus 1	13605	6	6	
GCF_023155235.1	ASM2315523v1	Rose virus R	13601	7	7	
GCF_029885955.1	ASM2988595v1	Actinidia cytorhabdovirus JS27	13589	7	7	
GCF_018583725.1	ASM1858372v1	Green Sichuan pepper nucleorhabdovirus	13546	6	6	
GCF_018589015.1	ASM1858901v1	Cardamom vein clearing nucleorhabdovirus 1	13392	6	6	
GCF_029882605.1	ASM2988260v1	Asclepias syriaca virus 1	13392	7	7	
GCF_029886165.1	ASM2988616v1	Hangzhou scotinophara lurida lispivirus 1	13361	5	5	
GCF_023119515.1	ASM2311951v1	Bacopa monnieri virus 1	13332	8	8	
GCF_029885235.1	ASM2988523v1	Macrophomina phaseolina hypovirus 2	13299	1	1	
GCF_018587265.1	ASM1858726v1	San Jacinto virus	13295	7	7	
GCF_018580715.1	ASM1858071v1	Shayang ascaridia galli virus 2	13277	6	6	
GCF_018591235.1	ASM1859123v1	Lepidopteran rhabdo-related virus 34	13262	5	5	
GCF_003729335.1	ASM372933v1	Culex mononega-like virus 2	13259	6	6	
GCF_029883705.1	ASM2988370v1	Rodent pestivirus	13220	1	1	
GCF_029885725.1	ASM2988572v1	Sweetbriar rose curly top-associated virus	13199	1	1	
GCF_029886195.1	ASM2988619v1	Frankliniella intonsa rhabdovirus 1	13196	5	5	
GCF_029882575.1	ASM2988257v1	Agave tequilana virus 1	13166	6	6	
GCF_023119525.1	ASM2311952v1	Bacopa monnieri virus 2	13165	6	6	
GCF_018590985.1	ASM1859098v1	Atrato Chu-like virus 5	13163	3	3	
GCF_023155765.1	ASM2315576v1	Hymenopteran rhabdo-related virus	13158	5	5	
GCF_029885135.1	ASM2988513v1	Kenyan potato cytorhabdovirus	13131	6	6	
GCF_029886475.1	ASM2988647v1	Apis rhabdovirus 3	13131	6	6	
GCF_023122715.1	ASM2312271v1	Fusarium sambucinum hypovirus 1	13120	1	1	
GCF_023148675.1	ASM2314867v1	Cucurbit cytorhabdovirus 1	13069	7	7	
GCF_018580445.1	ASM1858044v1	Pararge aegeria rhabdovirus	13062	6	6	
GCF_029886185.1	ASM2988618v1	Hangzhou acrida cinerea lispivirus 1	13049	5	5	
GCF_023123175.1	ASM2312317v1	Fusarium graminearum hypovirus 1	13035	2	2	
GCF_029882775.1	ASM2988277v1	Bemisia tabaci-associated virus 1	13025	6	6	
GCF_029882665.1	ASM2988266v1	Plectranthus aromaticus virus 1	12994	6	6	
GCF_023155605.1	ASM2315560v1	Hymenopteran arli-related virus OKIAV99	12971	5	5	
GCF_004788255.1	ASM478825v1	Simian foamy virus	12965	5	5	
GCF_023155355.1	ASM2315535v1	Joa yellow blotch virus	12965	7	7	
GCF_029882635.1	ASM2988263v1	Asclepias syriaca virus 2	12940	6	6	
GCF_029882905.1	ASM2988290v1	Nymphaea alba virus 1	12886	7	7	
GCF_003260715.1	ASM326071v1	Aedes anphevirus	12842	2	2	
GCF_029885155.1	ASM2988515v1	Thrips tabaci associated dimarhabdovirus 1	12836	5	5	
GCF_023120415.1	ASM2312041v1	Fusarium poae hypovirus 1	12795	1	1	
GCF_018580845.1	Constricta Yellow Dwarf Virus cRNA	Potato yellow dwarf virus	12792	7	7	
GCF_018548095.1	ASM1854809v1	Trichosanthes associated rhabdovirus 1	12783	6	6	
GCF_023123055.1	ASM2312305v1	Sclerotium rolfsii hypovirus 8	12769	1	1	
GCF_029883675.1	ASM2988367v1	Rodent pestivirus	12768	1	1	
GCF_023120505.1	ASM2312050v1	Culex tritaeniorhynchus Anphevirus	12756	5	5	
GCF_018547995.1	reference-guided re-assembly of PRFB02010501 PRFB02046519	Terrapene box turtle adintovirus	12754	12	12	
GCF_023156275.1	ASM2315627v1	Anisopteromalus calandrae negative-strand RNA virus 1	12702	5	5	
GCF_023131265.1	ASM2313126v1	Jeremy Point nyavirus	12659	8	8	
GCF_018580435.1	ASM1858043v1	Ceratitis capitata sigmavirus	12583	6	6	
GCF_014883225.1	ASM1488322v1	Gossas virus	20126	3	3	
GCF_018548005.1	Reference-guided re-assembly of WGS:AEGA01002012	Mayetiola barley midge adintovirus	12571	11	11	
GCF_029885935.1	ASM2988593v1	Camellia virus A	12570	3	3	
GCF_018591345.1	ASM1859134v1	hymenopteran rhabdo-related virus 24	12564	5	5	
GCF_018595215.1	ASM1859521v1	red goblin roach virus 1	21096	4	4	
GCF_023155645.1	ASM2315564v1	Hymenopteran anphe-related virus OKIAV71	12539	4	4	
GCF_023123065.1	ASM2312306v1	Anopheles darlingi virus	12521	6	6	
GCF_029886045.1	ASM2988604v1	Rhabdoviridae sp.	12485	6	6	
GCF_029882745.1	ASM2988274v1	Anthurium amnicola virus 1	12480	6	6	
GCF_018594895.1	ASM1859489v1	Pacific coast tick nairovirus	18653	3	3	
GCF_029887105.1	ASM2988710v1	Mundri virus	12445	8	8	
GCF_029884905.1	ASM2988490v1	Dongyang pangolin virus	12443	1	1	
GCF_013087785.1	ASM1308778v1	Lepeophtheirus virus LS24	12434	5	5	
GCF_023155915.1	ASM2315591v1	Boteke virus	12432	12	12	
GCF_018584215.1	ASM1858421v1	Trifolium pratense virus A	12430	6	6	
GCF_018591225.1	ASM1859122v1	hymenopteran rhabdo-related virus 38	12376	5	5	
GCF_023123185.1	ASM2312318v1	Sclerotinia homoeocarpa hypovirus 1	12370	1	1	
GCF_023155405.1	ASM2315540v1	Jimsystermes virus	12361	4	4	
GCF_018594725.1	ASM1859472v1	Xinzhou Spider Virus	17683	3	3	
GCF_014883175.1	ASM1488317v1	Kupe virus	18842	3	3	
GCF_029886445.1	ASM2988644v1	Tunisian small ruminant pestivirus	12286	1	1	
GCF_013088565.1	ASM1308856v1	Bovine viral diarrhea virus 2	12284	1	1	
GCF_023123075.1	ASM2312307v1	Anopheles marajoara virus	12265	6	6	
GCF_014883185.1	ASM1488318v1	Issyk-Kul virus	19289	3	3	
GCF_014883245.1	ASM1488324v1	Abu Mina virus	18416	3	3	
GCF_029882825.1	ASM2988282v1	Glehnia littoralis virus 1	12193	7	7	
GCF_029884895.1	ASM2988489v1	Pestivirus sp.	12173	1	1	
GCF_018594555.1	ASM1859455v1	Aigai virus	19245	3	3	
GCF_018595025.1	ASM1859502v1	Sapphire II virus	18540	3	3	
GCF_023147485.1	ASM2314748v1	Tulasnella bunyavirales-like virus 1	12157	3	3	
GCF_023131635.1	ASM2313163v1	Actinidia yellowing virus 1	12149	1	1	
GCF_029888495.1	ASM2988849v1	Yezo virus	18127	3	3	
GCF_018594925.1	ASM1859492v1	Vinegar Hill virus	18335	3	3	
GCF_023156295.1	ASM2315629v1	Anisopteromalus calandrae negative-strand RNA virus 2	12118	6	6	
GCF_014883235.1	ASM1488323v1	Abu Hammad virus	18596	3	3	
GCF_023120495.1	ASM2312049v1	Persimmon waikavirus	12117	1	1	
GCF_023124415.1	FLLV1-MaleA; sequence assembly from reads in SRX1756843, SRX1756859, and SRX1756863	Frog lyssa-like virus 1	12081	6	5	
GCF_023155835.1	ASM2315583v1	Porton virus	12077	8	8	
GCF_018591355.1	ASM1859135v1	megalopteran chu-related virus 119	12047	3	3	
GCF_018583795.1	ASM1858379v1	Lasius neglectus virus 2	12041	5	5	
GCF_013087305.1	ASM1308730v1	Inhangapi virus	12026	6	6	
GCF_018595165.1	ASM1859516v1	Meram virus	17856	3	3	
GCF_014883305.1	ASM1488330v1	Soldado virus	18270	3	3	
GCF_029888075.1	ASM2988807v1	Songling virus	18217	3	3	
GCF_023155515.1	ASM2315551v1	Hymenopteran arli-related virus OKIAV98	11987	5	5	
GCF_014883275.1	ASM1488327v1	Punta Salinas virus	17538	3	3	
GCF_002889255.1	ASM288925v1	Ross River virus	11948	2	2	
GCF_018595155.1	ASM1859515v1	Orthonairovirus tomdiense	17472	3	3	
GCF_029884225.1	ASM2988422v1	Bat pestivirus BtSk-PestV-1/GX2017	11921	1	1	
GCF_023122905.1	LhuPcV1	Linepithema humile rhabdo-like virus 1	11920	6	6	
GCF_013087185.1	ASM1308718v1	Aruac virus	11906	7	7	
GCF_023122935.1	ASM2312293v1	Red clover-associated virus 1	11891	1	1	
GCF_029884925.1	ASM2988492v1	Phocoena pestivirus	11880	1	1	
GCF_013087465.1	ASM1308746v1	Maize associated rhabdovirus	11877	6	6	
GCF_018594815.1	Tag_L_cw2	Taggert virus	18057	3	3	
GCF_023141955.1	ASM2314195v1	Blackcurrant waikavirus A	11833	2	2	
GCF_029886255.1	ASM2988625v1	Wufeng Rhinolophus pearsonii tupavirus 1	11828	7	7	
GCF_029888015.1	ASM2988801v1	Sulina virus	17427	3	3	
GCF_002888795.1	ASM288879v1	Onyong-nyong virus	11822	2	2	
GCF_023155785.1	ASM2315578v1	Hymenopteran rhabdo-related virus	11807	5	5	
GCF_018591205.1	ASM1859120v1	hymenopteran rhabdo-related virus 109	11801	5	5	
GCF_029883015.1	ASM2988301v1	Pinus flexilis virus 1	11740	5	5	
GCF_021359395.1	ASM2135939v1	Rhabdoviridae sp.	11728	5	5	
GCF_029886625.1	ASM2988662v1	Aksy-Durug Melophagus sigmavirus	11712	5	5	
GCF_029882935.1	ASM2988293v1	Tagetes erecta virus 1	11694	5	5	
GCF_029883065.1	ASM2988306v1	Armillaria mellea negative strand RNA virus 2	11682	6	6	
GCF_023155655.1	Contig 1	Poaceae Liege virus 1	11623	1	1	
GCF_023147645.1	ASM2314764v1	Perhabdovirus perca	11619	5	5	
GCF_002888955.1	ASM288895v1	Madariaga virus	11604	2	2	
GCF_023119545.1	ASM2311954v1	Anole lyssa-like virus 1	11584	5	5	
GCF_018582765.1	ASM1858276v1	Culex pseudovishnui rhabdo-like virus	11583	5	5	
GCF_013088365.1	ASM1308836v1	Lentinula edodes negative-strand RNA virus 1	11563	7	7	
GCF_002889215.1	ASM288921v1	Western equine encephalitis virus	11562	2	2	
GCF_023124535.1	ASM2312453v1	Amsterdam virus	11561	5	5	
GCF_023147495.1	ASM2314749v1	Solanum melongena rhabdo-like virus	11542	4	4	
GCF_018582975.1	ASM1858297v1	Blacklegged tick chuvirus 2	11518	4	4	
GCF_018587465.1	ASM1858746v1	Blanchseco virus	11512	5	5	
GCF_013087325.1	ASM1308732v1	Lone star tick rhabdovirus	11504	5	5	
GCF_018583965.1	ASM1858396v1	Xinjiang tick rhabdovirus	11472	5	5	
GCF_029883425.1	ASM2988342v1	Lokiarchaeia virus SkuldV3	11465	24	24	
GCF_018591255.1	ASM1859125v1	Auricularia heimuer negative-stranded RNA virus 1	11441	2	2	
GCF_013088525.1	ASM1308852v1	Charleville virus	11434	7	7	
GCF_029886845.1	ASM2988684v1	Wenzhou Myotis laniger tupavirus 1	11434	6	6	
GCF_029886575.1	ASM2988657v1	Varidnaviria sp.	11290	23	23	
GCF_029883335.1	ASM2988333v1	Chalcocoris rutilans mononega-like virus 2	11278	3	3	
GCF_018587515.1	ASM1858751v1	Mivirus sp.	11272	4	4	
GCF_023131585.1	ASM2313158v1	Trichoderma harzianum hypovirus 1	11251	2	2	
GCF_018583695.1	ASM1858369v1	Culex mosquito virus 5	11231	3	3	
GCF_029885765.1	ASM2988576v1	Sodak rhabdovirus 1	11221	5	5	
GCF_023147875.1	ASM2314787v1	Odonatan anphe-related virus OKIAV59	11217	4	4	
GCF_029886835.1	ASM2988683v1	Wenzhou Rhinolophus pusillus ledantevirus 1	11195	5	5	
GCF_018590965.1	ASM1859096v1	Karukera tick virus	11177	3	3	
GCF_013087195.1	ASM1308719v1	Connecticut virus	11169	7	7	
GCF_029883375.1	ASM2988337v1	Trialeurodes vaporariorum mononega-like virus 2	11167	3	3	
GCF_018583685.1	ASM1858368v1	Culex mosquito virus 4	11155	3	3	
GCF_018583135.1	ASM1858313v1	Dillard's Draw virus	11142	5	5	
GCF_023120285.1	de-novo	Eelpout rhabdovirus	11139	5	5	
GCF_029886015.1	ASM2988601v1	Mejal virus	11112	5	5	
GCF_013087945.1	ASM1308794v1	Hainan black-spectacled toad rhabdovirus	11110	5	5	
GCF_023156125.1	ASM2315612v1	Mediterranean bat virus	11093	5	5	
GCF_023123015.1	ASM2312301v1	Sclerotium rolfsii hypovirus 4	11035	1	1	
GCF_018584255.1	ASM1858425v1	Genoa virus	11018	3	3	
GCF_023122995.1	ASM2312299v1	Sclerotium rolfsii hypovirus 2	11010	1	1	
GCF_023156095.1	ASM2315609v1	Matariya virus	10991	7	7	
GCF_023131465.1	ASM2313146v1	Harbour porpoise rhabdovirus	10988	5	5	
GCF_023148695.1	ASM2314869v1	Bondarzewia berkeleyi negative-strand RNA virus 1	10983	6	6	
GCF_023155965.1	ASM2315596v1	Nasoule virus	10977	7	7	
GCF_023155705.1	ASM2315570v1	odonatan chu-related virus 136	10976	3	3	
GCF_023155995.1	ASM2315599v1	Kolongo virus	10971	8	8	
GCF_023155985.1	ASM2315598v1	Bimbo virus	10969	10	10	
GCF_023123045.1	ASM2312304v1	Sclerotium rolfsii hypovirus 7	10961	1	1	
GCF_023155935.1	ASM2315593v1	Sandjimba virus	10951	8	8	
GCF_023141785.1	ASM2314178v1	Yinshui bat virus	10940	5	5	
GCF_023141765.1	ASM2314176v1	Taiyi bat virus	10933	5	5	
GCF_029882945.1	ASM2988294v1	Trachyspermum ammi virus 1	10920	5	5	
GCF_018591275.1	ASM1859127v1	Bughendera virus	10895	5	5	
GCF_023122855.1	ASM2312285v1	Wuhan redfin culter dimarhabdovirus	10882	5	5	
GCF_018582835.1	ASM1858283v1	Rhabdoviridae sp.	10866	5	5	
GCF_029886265.1	ASM2988626v1	Longquan Niviventer coninga ledantevirus 1	10853	5	5	
GCF_023156065.1	ASM2315606v1	Burg el Arab virus	10846	9	9	
GCF_029885905.1	ASM2988590v1	Armillaria mellea negative-stranded RNA virus 1	10812	6	6	
GCF_023155725.1	ASM2315572v1	odonatan chu-related virus 137	10800	3	3	
GCF_027090435.1	ASM2709043v1	Methanophagales virus PBV304	10798	20	20	
GCF_029886565.1	ASM2988656v1	Xiangshan rhabdo-like virus 1	10798	5	5	
GCF_023124445.1	ASM2312444v1	Rhizoctonia solani fusarivirus 1	10776	4	4	
GCF_027090465.1	ASM2709046v1	Methanophagales virus PBV266	10775	19	19	
GCF_023156025.1	ASM2315602v1	Ouango virus	10773	8	8	
GCF_023123025.1	ASM2312302v1	Sclerotium rolfsii hypovirus 5	10758	1	1	
GCF_023123005.1	ASM2312300v1	Sclerotium rolfsii hypovirus 3	10739	1	1	
GCF_018589635.1	ASM1858963v1	Herr Frank virus 1	10718	3	3	
GCF_023124435.1	ASM2312443v1	Rhizoctonia solani fusarivirus 2	10710	4	4	
GCF_029886855.1	ASM2988685v1	Wufeng Myotis altarium vesiculovirus 1	10680	5	5	
GCF_029885245.1	ASM2988524v1	Rhabdoviridae sp.	10660	5	5	
GCF_029883075.1	ASM2988307v1	Oropsylla silantiewi mononega-like virus 2	10646	2	2	
GCF_018583375.1	ASM1858337v1	Guangdong red-banded snake chuvirus-like virus	10625	3	3	
GCF_029883205.1	ASM2988320v1	Periplaneta americana mononega-like virus	10509	3	3	
GCF_002820965.1	ASM282096v1	Guereza hepacivirus	10412	1	1	
GCF_018583385.1	ASM1858338v1	Wenling fish chu-like virus	10385	3	3	
GCF_027090385.1	ASM2709038v1	Methanophagales virus PBV305	10198	18	18	
GCF_023148625.1	ASM2314862v1	Lettuce star mosaic virus	10183	1	1	
GCF_029883925.1	ASM2988392v1	Thladiantha dubia mosaic virus	10142	1	1	
GCF_023148965.1	ASM2314896v1	Solenopsis invicta virus 15	10128	5	5	
GCF_023147985.1	ASM2314798v1	Coleopteran arli-related virus OKIAV107	10121	3	3	
GCF_029886865.1	ASM2988686v1	Fusarium oxysporum mymonavirus 1	10114	5	5	
GCF_018583715.1	ASM1858371v1	Passionfruit Vietnam virus	10071	1	1	
GCF_009800845.1	ASM980084v1	Pseudomonas phage pf8_ST274-AUS411	10061	17	16	
GCF_018591245.1	ASM1859124v1	Botrytis cinerea negative-stranded RNA virus 7	10002	4	4	
GCF_029886235.1	ASM2988623v1	Sanya nyamivirus 1	9925	5	5	
GCF_023141805.1	ASM2314180v1	Botrytis cinerea negative-stranded RNA virus 3	9875	4	4	
GCF_029886145.1	ASM2988614v1	Scorzonera virus A	9867	1	1	
GCF_018582845.1	ASM1858284v1	Formica exsecta virus 4	9866	5	5	
GCF_029882865.1	ASM2988286v1	Gymnadenia densiflora virus 1	9865	4	4	
GCF_018588985.1	ASM1858898v1	Hancheng leafhopper mivirus	9852	2	2	
GCF_018583785.1	ASM1858378v1	Formica fusca virus 1	9851	5	5	
GCF_018587555.1	ASM1858755v1	Narnavirus sp.	9843	5	5	
GCF_029885945.1	ASM2988594v1	Marigold mosaic virus	9841	1	1	
GCF_023141825.1	ASM2314182v1	Botrytis cinerea negative-stranded RNA virus 5	9817	4	4	
GCF_029884235.1	ASM2988423v1	Solenopsis invicta virus 6	9816	2	2	
GCF_018591335.1	ASM1859133v1	Hymenopteran orino-related virus OKIAV85	9813	5	5	
GCF_029885605.1	ASM2988560v1	Clivia yellow stripe virus	9800	1	1	
GCF_000919575.2	De Novo	Sicinivirus A	9798	1	1	
GCF_018591215.1	ASM1859121v1	Hymenopteran orino-related virus OKIAV87	9795	5	5	
GCF_023148905.1	ASM2314890v1	Pennisetum alopecuroides mosaic virus	9734	1	1	
GCF_029886555.1	ASM2988655v1	Xiangshan Nyami-like virus	9707	5	5	
GCF_029883855.1	ASM2988385v1	Anemone mosaic virus	9698	1	1	
GCF_018584795.1	ASM1858479v1	Ugandan passiflora virus	9670	1	1	
GCF_023148205.1	ASM2314820v1	Mirabilis crinkle mosaic virus	9666	1	1	
GCF_002821105.1	ASM282110v1	Pegivirus platyrrhini	9653	1	1	
GCF_023147515.1	ASM2314751v1	Ashitaba mosaic virus	9651	1	1	
GCF_023120525.1	ASM2312052v1	Pleioblastus mosaic virus	9634	1	1	
GCF_018589525.1	ASM1858952v1	Rustrela virus	9631	2	2	
GCF_018589495.1	ASM1858949v1	Ruhugu virus	9621	2	2	
GCF_029886225.1	ASM2988622v1	Guiyang lispivirus 2	9536	2	2	
GCF_023124515.1	ASM2312451v1	Pistacia-associated flexivirus 1	9525	3	3	
GCF_018595395.1	ASM1859539v1	European wheat striate mosaic virus	16898	8	8	
GCF_023148805.1	ASM2314880v1	Achyranthes virus A	9491	1	1	
GCF_029883545.1	ASM2988354v1	Ornithogalum mosaic virus	9475	1	1	
GCF_018583015.1	ASM1858301v1	Sclerotinia sclerotiorum negative-stranded RNA virus 2A	9450	5	5	
GCF_023131625.1	ASM2313162v1	Fusarium oxysporum dianthi hypovirus 2	9444	1	1	
GCF_023148645.1	ASM2314864v1	Cryphonectria parasitica sclerotimonavirus 1	9318	5	5	
GCF_018589395.1	ASM1858939v1	Apple virus B	9234	5	5	
GCF_000875545.2	ViralProj30835	Cycad leaf necrosis virus	9227	3	3	
GCF_023122735.1	ASM2312273v1	Entoleuca gammaflexivirus 1	9221	3	3	
GCF_013087835.1	ASM1308783v1	pemapivirus B1	9218	1	1	
GCF_023141815.1	ASM2314181v1	Botrytis cinerea negative-stranded RNA virus 4	9211	4	4	
GCF_021461775.1	ASM2146177v1	pemapivirus A1	9196	1	1	
GCF_023156815.1	ASM2315681v1	Acheta domesticus iflavirus	18143	2	2	
GCF_023120485.1	ASM2312048v1	Aucuba ringspot virus	9092	3	3	
GCF_023131175.1	ASM2313117v1	Papaya mild mottle associated virus	9081	6	6	
GCF_023131195.1	ASM2313119v1	papaya mottle-associated virus	9080	6	6	
GCF_023124095.1	ASM2312409v1	Setosphaeria turcica hypovirus 1	9069	1	1	
GCF_029886485.1	ASM2988648v1	Fusarium asiaticum negative-stranded RNA virus 1	9055	4	4	
GCF_004790615.1	ASM479061v1	Calla lily chlorotic spot virus	16787	5	5	
GCF_013086845.1	ASM1308684v2	Hippeastrum chlorotic spot virus	16373	5	5	
GCF_023119535.1	ASM2311953v1	Mexican black-tailed rattlesnake bornavirus	8907	6	6	
GCF_004787775.1	ASM478777v1	Rosavirus C	8898	1	1	
GCF_023122965.1	ASM2312296v1	Birch carlavirus	8896	6	6	
GCF_029888525.1	ASM2988852v1	Ligustrum leprosis virus	12605	5	5	
GCF_029888145.1	ASM2988814v1	Solenopsis invicta virus 14	13598	3	3	
GCF_023131325.1	ASM2313132v1	Rose virus A	8869	6	6	
GCF_029885185.1	ASM2988518v1	Aconite virus A	8866	6	6	
GCF_029885565.1	ASM2988556v1	Rose virus B	8845	6	6	
GCF_029885225.1	ASM2988522v1	Camellia ringspot associated virus 4	8829	6	6	
GCF_023120455.1	ASM2312045v1	Cherry virus B	8806	7	5	
GCF_023122645.1	ASM2312264v1	Sekira virus	8799	4	4	
GCF_029885845.1	ASM2988584v1	Agapanthus carlavirus B	8780	6	6	
GCF_023155495.1	ASM2315549v1	Soybean carlavirus 1	8681	6	6	
GCF_029888505.1	ASM2988850v1	Solanum violifolium ringspot virus	12280	5	5	
GCF_023147625.1	ASM2314762v1	Rubus virus 1	8645	5	5	
GCF_029885065.1	ASM2988506v1	Grapevine foveavirus A	8624	5	5	
GCF_013087925.1	ASM1308792v1	Wenling triplecross lizardfish picornavirus	8591	1	1	
GCF_013087405.1	ASM1308740v1	Potamipivirus A	8532	1	1	
GCF_009745835.1	ASM974583v1	Vibrio phage VALG_phi6	8529	13	13	
GCF_018591445.1	ASM1859144v1	dermapteran chu-related virus 142	10645	4	4	
GCF_013086155.1	ASM1308615v1	Picornavirales sp.	8422	1	1	
GCF_029885595.1	ASM2988559v1	Clivia carlavirus A	8412	6	6	
GCF_023122915.1	ASM2312291v1	Shallot virus S	8384	6	6	
GCF_029888515.1	ASM2988851v1	Ligustrum chlorotic spot virus	12063	5	5	
GCF_023156885.1	ASM2315688v1	Hibiscus yellow blotch virus	12793	6	6	
GCF_023141875.1	ASM2314187v1	Botrytis cinerea fusarivirus 3	8354	2	2	
GCF_023141885.1	ASM2314188v1	Botrytis cinerea fusarivirus 4	8349	2	2	
GCF_018583405.1	ASM1858340v1	tropivirus B1	8343	1	1	
GCF_018583395.1	ASM1858339v1	fipivirus F1	8332	1	1	
GCF_018583435.1	ASM1858343v1	Guangdong fish caecilians picornavirus	8318	1	1	
GCF_013086165.1	ASM1308616v1	Picornavirales sp.	8315	1	1	
GCF_029886505.1	ASM2988650v1	Hogweed virus 4	8301	3	3	
GCF_018583735.1	ASM1858373v1	Zebrafish picornavirus 1	8298	1	1	
GCF_002817065.1	ASM281706v1	aichivirus A1	8280	1	1	
GCF_013087335.1	ASM1308733v1	anativirus B1	8204	1	1	
GCF_029885255.1	ASM2988525v1	Amomum potyvirus A	8200	1	1	
GCF_013087875.1	ASM1308787v1	fipivirus E1	8173	1	1	
GCF_013087965.1	ASM1308796v1	Marmot mosavirus	8170	1	1	
GCF_014883865.1	ASM1488386v1	cardiovirus E1	8122	1	1	
GCF_013088325.1	ASM1308832v1	Codonopsis vein clearing virus	8112	3	3	
GCF_004788175.1	ASM478817v1	Dioscorea bacilliform virus	8106	3	3	
GCF_013087935.1	ASM1308793v1	fipivirus D1	8084	1	1	
GCF_018595375.1	ASM1859537v1	Grapevine Garan dmak virus	11227	3	3	
GCF_013087845.1	ASM1308784v1	tropivirus A1	8049	1	1	
GCF_023156665.1	Caraway yellows virus	Caraway yellows virus	14475	2	2	
GCF_018585195.1	ASM1858519v1	Green Sichuan pepper vein clearing-associated virus	8014	3	3	
GCF_013086195.1	ASM1308619v1	Picornavirales sp.	8013	1	1	
GCF_023123115.1	ASM2312311v1	Mexico trichovirus	8009	4	4	
GCF_013087855.1	ASM1308785v1	Guangdong chinese water snake picornavirus	7994	1	1	
GCF_013087865.1	ASM1308786v1	Hainan oriental leaf-toed gecko picornavirus	7969	1	1	
GCF_013087905.1	ASM1308790v1	fipivirus A1	7965	1	1	
GCF_018595365.1	ASM1859536v1	Grapevine Muscat rose virus	10752	3	3	
GCF_018583415.1	ASM1858341v1	rajidapivirus A1	7947	1	1	
GCF_029885585.1	ASM2988558v1	Agapanthus tungrovirus	7942	4	4	
GCF_003390015.1	ASM339001v1	grusopivirus A1	7917	1	1	
GCF_004786895.1	ASM478689v1	Calicivirus chicken/V0021/Bayern/2004	7908	2	2	
GCF_013086185.1	ASM1308618v1	cardiovirus F1	7890	1	1	
GCF_023141925.1	ASM2314192v1	Botrytis cinerea fusarivirus 7	7881	2	2	
GCF_002630705.1	ASM263070v1	Spiroplasma phage SVGII3	7878	12	11	1
GCF_004788195.1	ASM478819v1	Dioscorea bacilliform virus	7871	3	3	
GCF_013087915.1	ASM1308791v1	fipivirus B1	7871	1	1	
GCF_023156635.1	ASM2315663v1	Green Sichuan pepper nepovirus	14954	2	2	
GCF_018583955.1	ASM1858395v1	Botrytis cinerea mymonavirus 1	7863	3	3	
